case_id,size
CP_02_04091524_00110,77
CP_02_04091637_00111,68
CP_02_04091842_00104,53
CP_02_04100746_00109,65
CP_02_04100838_00111,49
CP_02_04101024_00107,50
CP_02_04110834_00110,50
CP_02_04111531_00110,53
CP_02_04122110_00104,57
CP_02_04130027_00109,49
CP_02_04130210_00105,129
CP_02_04131752_00107,56
CP_02_04140238_00109,54
CP_02_04140314_00111,137
CP_02_04141247_00105,52
CP_02_04141345_00110,99
CP_02_04141557_00111,49
CP_02_04151954_00109,49
CP_02_04171140_00111,49
CP_02_04171335_00110,69
CP_02_04171520_00109,144
CP_02_04171628_00111,49
CP_02_04171750_00107,127
CP_02_04181735_00109,92
CP_02_04182141_00105,52
CP_02_04191244_00104,69
CP_02_04191412_00109,98
CP_02_04191627_00105,88
CP_02_04200336_00111,50
CP_02_04200754_00110,49
CP_02_04201627_00109,54
CP_02_04201744_00111,62
CP_02_04201758_00110,49
CP_02_04201840_00109,71
CP_02_04202107_00104,50
CP_02_04202156_00110,53
CP_02_04202257_00111,49
CP_02_04210158_00110,49
CP_02_04211502_00107,96
CP_02_04212344_00111,57
CP_02_04221230_00106,47
CP_02_04221622_00104,50
CP_02_04221724_00111,49
CP_02_04221741_00105,51
CP_02_04221833_00111,49
CP_02_04221939_00107,57
CP_02_04231118_00105,52
CP_02_04231538_00107,50
CP_02_04231612_00104,49
CP_02_04231730_00109,49
CP_02_04231822_00111,63
CP_02_04231955_00101,50
CP_02_04232016_00100,49
CP_02_04232111_00107,57
CP_02_04232228_00111,71
CP_02_04240247_00110,66
CP_02_04241611_00105,55
CP_02_04241627_00105,52
CP_02_04241814_00109,69
CP_02_04241823_00109,100
CP_02_04250338_00105,52
CP_02_04250420_00110,83
CP_02_04250810_00111,49
CP_02_04251013_00104,67
CP_02_04251109_00100,53
CP_02_04251429_00107,57
CP_02_04251934_00109,82
CP_02_04261200_00109,240
CP_02_04261408_00104,74
CP_02_04261943_00105,52
CP_02_04262312_00107,51
CP_02_04281513_00109,53
CP_02_04291416_00155,49
CP_02_04300106_00111,67
CP_02_04300738_00109,53
CP_02_04301413_00104,76
CP_02_04301426_00107,153
CP_02_04301716_00105,55
CP_02_04302128_00109,54
CP_02_05010908_00110,63
CP_02_05012136_00110,49
CP_02_05012216_00111,70
CP_02_05020625_00110,49
CP_02_05020722_00105,51
CP_02_05021156_00109,59
CP_02_05021533_00107,77
CP_02_05021551_00111,60
CP_02_05021620_00100,50
CP_02_05021724_00106,47
CP_02_05021919_00105,58
CP_02_05022200_00111,59
CP_02_05031120_00104,54
CP_02_05040340_00110,58
CP_02_05050058_00110,66
CP_02_05050233_00111,69
CP_02_05051421_00104,49
CP_02_05051911_00109,53
CP_02_05051939_00107,49
CP_02_05052143_00111,49
CP_02_05052155_00104,49
CP_02_05060303_00111,100
CP_02_05060932_00105,52
CP_02_05061514_00105,65
CP_02_05061600_00109,107
CP_02_05061601_00107,57
CP_02_05061615_00104,50
CP_02_05061750_00110,80
CP_02_05061840_00109,53
CP_02_05062037_00111,173
CP_02_05062047_00111,73
CP_02_05062159_00104,61
CP_02_05070013_00104,56
CP_02_05070103_00107,56
CP_02_05071134_00100,61
CP_02_05071254_00111,82
CP_02_05071344_00110,52
CP_02_05071454_00109,69
CP_02_05071759_00104,50
CP_02_05071811_00104,73
CP_02_05071921_00107,64
CP_02_05072023_00105,58
CP_02_05072241_00111,102
CP_02_05080045_00152,123
CP_02_05080743_00110,141
CP_02_05081222_00111,59
CP_02_05081415_00111,53
CP_02_05082121_00109,62
CP_02_05082208_00105,52
CP_02_05082356_00107,59
CP_02_05090122_00104,49
CP_02_05090155_00111,122
CP_02_05091509_00111,49
CP_02_05091719_00110,96
CP_02_05092338_00111,50
CP_02_05100114_00106,52
CP_02_05100151_00110,66
CP_02_05100344_00110,77
CP_02_05100459_00109,113
CP_02_05100800_00107,287
CP_02_05101132_00104,50
CP_02_05101329_00105,53
CP_02_05101537_00104,54
CP_02_05111411_00107,56
CP_02_05120145_00110,79
CP_02_05120430_00109,95
CP_02_05121646_00109,53
CP_02_05121925_00111,49
CP_02_05130358_00111,49
CP_02_05131545_00107,48
CP_02_05131822_00107,57
CP_02_05131828_00109,49
CP_02_05132114_00111,49
CP_02_05151433_00109,60
CP_02_05151549_00111,82
CP_02_05151706_00111,50
CP_02_05160156_00111,49
CP_02_05160840_00109,54
CP_02_05161538_00108,49
CP_02_05161618_00106,81
CP_02_05161647_00105,51
CP_02_05161816_00109,196
CP_02_05161909_00111,70
CP_02_05162005_00110,57
CP_02_05162320_00111,49
CP_02_05170616_00111,103
CP_02_05170930_00110,72
CP_02_05171335_00104,45
CP_02_05171410_00105,82
CP_02_05171440_00108,54
CP_02_05172311_00133,49
CP_02_05180037_00133,59
CP_02_05180152_00110,103
CP_02_05180552_00107,68
CP_02_05180659_00104,63
CP_02_05181312_00108,66
CP_02_05181327_00104,81
CP_02_05190237_00110,142
CP_02_05191015_00111,83
CP_02_05191231_00108,48
CP_02_05191244_00111,69
CP_02_05191618_00109,53
CP_02_05191900_00110,49
CP_02_05191924_00110,49
CP_02_05192216_00110,49
CP_02_05200318_00111,49
CP_02_05201320_00111,63
CP_02_05201355_00108,49
CP_02_05201515_00104,49
CP_02_05210617_00109,84
CP_02_05210952_00107,84
CP_02_05211346_00111,49
CP_02_05212246_00105,77
CP_02_05231423_00107,56
CP_02_05231639_00109,48
CP_02_05231717_00109,49
CP_02_05231851_00110,49
CP_02_05240014_00110,55
CP_02_05240107_00109,49
CP_02_05241226_00107,108
CP_02_05241439_00104,60
CP_02_05241655_00109,49
CP_02_05251247_00110,53
CP_02_05252117_00110,149
CP_02_05260310_00111,103
CP_02_05261453_00107,57
CP_02_05261750_00105,50
CP_02_05262343_00108,49
CP_02_05270236_00110,75
CP_02_05270457_00111,50
CP_02_05270810_00110,103
CP_02_05271240_00109,116
CP_02_05271322_00111,94
CP_02_05271347_00104,49
CP_02_05271414_00109,49
CP_02_05271713_00107,61
CP_02_05272013_00104,50
CP_02_05280131_00108,49
CP_02_05280309_00111,85
CP_02_05281336_00111,67
CP_02_05281408_00110,49
CP_02_05281509_00105,52
CP_02_05281610_00108,49
CP_02_05281720_00109,77
CP_02_05281821_00107,56
CP_02_05281828_00104,50
CP_02_05290800_00109,397
CP_02_05291500_00111,71
CP_02_05291614_00110,57
CP_02_05291635_00105,51
CP_02_05291710_00109,62
CP_02_05291723_00104,50
CP_02_05291757_00107,73
CP_02_05291842_00111,50
CP_02_05292340_00109,48
CP_02_05300658_00111,49
CP_02_05301347_00104,56
CP_02_05301408_00107,55
CP_02_05301724_00107,57
CP_02_05301938_00100,53
CP_02_05311006_00110,118
CP_02_05311328_00133,49
CP_02_05311418_00104,136
CP_02_05311444_00107,65
CP_02_05311549_00105,51
CP_02_05311707_00109,53
CP_02_05311729_00109,49
