case_id,min,max,length,unnormal_indices
CP_00_07190114_00093,-28665.0,570.0,50,
CP_00_07190249_00023,-28665.0,595.0,85,
CP_00_07190557_00090,-290.0,660.0,74,
CP_00_07191255_00093,-28665.0,570.0,56,
CP_00_07191331_00092,-28665.0,776.0,139,
CP_00_07191426_00094,-28665.0,635.0,79,
CP_00_07200336_00091,-140.0,570.0,58,
CP_00_07200449_00092,-28660.0,1009.0,51,
CP_00_07201828_00090,-300.0,650.0,51,
CP_00_07211602_00092,-28665.0,655.0,53,
CP_00_07221307_00092,-28665.0,585.0,67,
CP_00_07221529_00091,-28665.0,580.0,53,
CP_00_07231419_00087,-28665.0,630.0,53,
CP_00_07231744_00088,-300.0,600.0,53,
CP_00_07231855_00074,-28665.0,710.0,82,
CP_00_07241243_00090,-300.0,650.0,87,
CP_00_07241328_00023,-28665.0,645.0,53,
CP_00_07241511_00074,-28665.0,685.0,72,
CP_00_07251146_00023,-28665.0,635.0,62,
CP_00_07251151_00091,-28665.0,625.0,124,
CP_00_07251600_00090,-300.0,640.0,48,
CP_00_07261027_00094,-28665.0,545.0,49,
CP_00_07261147_00092,-28665.0,635.0,129,
CP_00_07261625_00088,-300.0,700.0,118,
CP_00_07261714_00093,-300.0,670.0,78,
CP_00_07261759_00092,-300.0,690.0,79,
CP_00_07261803_00087,-230.0,920.0,110,
CP_00_07262355_00091,-290.0,730.0,64,
CP_00_07270135_00090,-300.0,680.0,48,
CP_00_07270242_00088,-300.0,670.0,52,
CP_00_07270433_00087,-28665.0,590.0,67,
CP_00_07271200_00087,-170.0,660.0,51,
CP_00_07271619_00090,-300.0,650.0,61,
CP_00_07271826_00087,-210.0,650.0,66,
CP_00_07272229_00091,-280.0,630.0,52,
CP_00_07272327_00093,-28665.0,685.0,49,
CP_00_07272328_00090,-28665.0,655.0,48,
CP_00_07280515_00092,-28665.0,640.0,86,
CP_00_07281327_00087,-28665.0,600.0,71,
CP_00_07281539_00090,-300.0,650.0,69,
CP_00_07281638_00088,-300.0,670.0,52,
CP_00_07291542_00087,-180.0,660.0,51,
CP_00_07301140_00088,-290.0,710.0,81,
CP_00_07301435_00117,-28665.0,665.0,78,
CP_00_07301529_00092,-300.0,580.0,50,
CP_00_07301531_00088,-290.0,620.0,53,
CP_00_07301651_00092,-28665.0,650.0,53,
CP_00_07301652_00093,-290.0,670.0,50,
CP_00_07302232_00087,-290.0,570.0,51,
CP_00_07310244_00088,-300.0,650.0,117,
CP_00_07311519_00091,-280.0,650.0,52,
CP_00_07311617_00075,-28665.0,655.0,51,
CP_00_07311659_00092,-300.0,620.0,49,
CP_00_08011404_00091,-28665.0,690.0,130,
CP_00_08011655_00091,-300.0,660.0,51,
CP_00_08021428_00023,-28665.0,675.0,53,
CP_00_08021444_00117,-28665.0,670.0,49,
CP_00_08021540_00090,-300.0,650.0,48,8;10
CP_00_08021604_00093,-300.0,650.0,117,
CP_00_08021617_00087,-28665.0,660.0,52,
CP_00_08021755_00092,-300.0,640.0,67,
CP_00_08030902_00087,-280.0,700.0,81,
CP_00_08031234_00093,-300.0,590.0,49,
CP_00_08031309_00088,-300.0,640.0,88,
